transaction_id,user_id,transaction_date,plan_type,revenue
1,1,2024-04-19,monthly,20
2,16,2024-05-13,monthly,20
3,25,2024-09-08,monthly,20
4,29,2024-07-22,monthly,20
5,51,2024-04-27,annual,200
6,56,2024-03-01,monthly,20
7,69,2024-05-29,monthly,20
8,77,2024-06-29,monthly,20
9,105,2024-08-09,monthly,20
10,107,2024-07-18,annual,200
11,109,2024-08-06,monthly,20
12,120,2024-08-26,monthly,20
13,131,2024-08-24,monthly,20
14,142,2024-01-12,monthly,20
15,146,2024-02-15,monthly,20
16,147,2024-05-23,monthly,20
17,158,2024-04-22,annual,200
18,160,2024-04-26,annual,200
19,168,2024-08-02,monthly,20
20,183,2024-07-16,monthly,20
21,197,2024-02-01,monthly,20
22,198,2024-02-23,monthly,20
23,203,2024-03-28,monthly,20
24,210,2024-05-25,annual,200
25,217,2024-07-20,monthly,20
26,219,2024-05-18,monthly,20
27,222,2024-09-02,annual,200
28,240,2024-06-14,monthly,20
29,244,2024-07-07,monthly,20
30,258,2024-01-13,monthly,20
31,261,2024-05-25,monthly,20
32,264,2024-04-27,monthly,20
33,281,2024-03-09,monthly,20
34,286,2024-06-18,monthly,20
35,288,2024-07-19,annual,200
36,290,2024-07-16,monthly,20
37,294,2024-01-25,monthly,20
38,297,2024-04-08,annual,200
39,302,2024-06-07,annual,200
40,311,2024-06-06,annual,200
41,314,2024-06-03,monthly,20
42,315,2024-04-08,monthly,20
43,324,2024-07-06,annual,200
44,333,2024-08-06,monthly,20
45,350,2024-08-04,monthly,20
46,353,2024-01-23,monthly,20
47,360,2024-06-01,monthly,20
48,363,2024-05-10,monthly,20
49,375,2024-05-06,monthly,20
50,381,2024-05-12,annual,200
51,387,2024-08-14,annual,200
52,392,2024-03-12,monthly,20
53,403,2024-05-21,monthly,20
54,410,2024-04-29,annual,200
55,412,2024-08-29,annual,200
56,426,2024-02-13,monthly,20
57,428,2024-07-12,monthly,20
58,444,2024-04-28,monthly,20
59,485,2024-05-12,monthly,20
60,499,2024-06-13,monthly,20
61,516,2024-06-01,annual,200
62,521,2024-08-07,monthly,20
63,532,2024-03-16,monthly,20
64,541,2024-07-14,monthly,20
65,549,2024-01-19,monthly,20
66,564,2024-05-07,monthly,20
67,594,2024-02-22,monthly,20
68,595,2024-04-18,monthly,20
69,605,2024-03-15,monthly,20
70,608,2024-07-25,monthly,20
71,611,2024-05-27,annual,200
72,616,2024-02-13,monthly,20
73,629,2024-07-06,annual,200
74,635,2024-04-28,annual,200
75,650,2024-01-20,monthly,20
76,653,2024-03-27,annual,200
77,654,2024-01-08,monthly,20
78,658,2024-08-11,annual,200
79,659,2024-04-09,monthly,20
80,699,2024-03-18,monthly,20
81,709,2024-05-28,annual,200
82,721,2024-04-22,monthly,20
83,726,2024-02-21,annual,200
84,734,2024-04-17,monthly,20
85,738,2024-03-21,monthly,20
86,763,2024-05-10,monthly,20
87,766,2024-05-26,monthly,20
88,777,2024-04-22,annual,200
89,779,2024-02-20,monthly,20
90,784,2024-05-04,monthly,20
91,793,2024-03-27,monthly,20
