user_id,signup_date,acquisition_channel,country,device_type,user_segment,experiment_group,activated,purchased
1,2024-04-12,organic,US,desktop,price_sensitive,control,True,True
2,2024-06-28,referral,India,mobile,power,control,False,False
3,2024-04-02,paid,UK,mobile,casual,treatment,False,False
4,2024-01-15,organic,US,desktop,price_sensitive,treatment,False,False
5,2024-04-16,paid,US,mobile,price_sensitive,treatment,False,False
6,2024-03-12,paid,UK,desktop,price_sensitive,treatment,True,False
7,2024-07-07,referral,US,desktop,price_sensitive,treatment,False,False
8,2024-01-21,organic,US,desktop,power,treatment,True,False
9,2024-04-12,referral,India,desktop,power,treatment,False,False
10,2024-05-01,organic,US,mobile,power,treatment,False,False
11,2024-07-29,paid,India,mobile,price_sensitive,treatment,False,False
12,2024-08-02,paid,US,desktop,price_sensitive,treatment,True,False
13,2024-03-15,paid,India,desktop,casual,treatment,True,False
14,2024-07-21,paid,US,mobile,price_sensitive,control,False,False
15,2024-03-28,referral,UK,desktop,casual,control,True,False
16,2024-04-26,paid,India,desktop,price_sensitive,control,True,True
17,2024-04-09,paid,India,mobile,price_sensitive,control,False,False
18,2024-04-13,organic,US,desktop,price_sensitive,treatment,True,False
19,2024-05-31,organic,UK,desktop,casual,treatment,False,False
20,2024-05-10,organic,US,mobile,casual,treatment,False,False
21,2024-05-29,referral,US,mobile,price_sensitive,control,True,False
22,2024-02-22,paid,US,mobile,power,treatment,False,False
23,2024-01-02,referral,UK,mobile,power,treatment,False,False
24,2024-03-28,organic,India,desktop,price_sensitive,control,True,False
25,2024-08-23,paid,UK,mobile,price_sensitive,control,True,True
26,2024-06-06,organic,US,desktop,power,treatment,True,False
27,2024-02-07,paid,India,mobile,power,treatment,False,False
28,2024-05-09,organic,India,desktop,price_sensitive,control,False,False
29,2024-07-10,organic,India,mobile,power,treatment,True,True
30,2024-07-06,paid,India,mobile,power,treatment,False,False
31,2024-01-21,organic,India,mobile,price_sensitive,control,False,False
32,2024-06-09,paid,UK,mobile,casual,treatment,False,False
33,2024-07-22,paid,India,mobile,price_sensitive,treatment,False,False
34,2024-02-27,paid,UK,mobile,casual,control,False,False
35,2024-01-22,referral,India,desktop,casual,control,True,False
36,2024-08-23,organic,UK,mobile,price_sensitive,control,False,False
37,2024-03-29,paid,India,desktop,power,control,True,False
38,2024-02-18,referral,India,desktop,power,control,True,False
39,2024-08-06,paid,US,mobile,power,control,False,False
40,2024-02-28,organic,UK,desktop,price_sensitive,treatment,True,False
41,2024-06-18,referral,US,mobile,power,treatment,False,False
42,2024-08-07,organic,US,desktop,power,treatment,True,False
43,2024-07-06,organic,India,mobile,casual,control,True,False
44,2024-07-26,organic,India,mobile,casual,treatment,False,False
45,2024-01-15,organic,India,mobile,price_sensitive,control,False,False
46,2024-07-08,organic,India,mobile,power,control,False,False
47,2024-07-08,organic,India,desktop,price_sensitive,control,False,False
48,2024-06-23,paid,UK,mobile,price_sensitive,control,False,False
49,2024-07-08,organic,India,mobile,power,control,False,False
50,2024-02-20,organic,UK,mobile,price_sensitive,treatment,False,False
51,2024-04-17,paid,US,mobile,casual,treatment,True,True
52,2024-02-24,organic,US,mobile,casual,treatment,False,False
53,2024-03-04,organic,India,mobile,price_sensitive,control,False,False
54,2024-05-10,paid,US,mobile,price_sensitive,control,True,False
55,2024-08-16,organic,UK,mobile,price_sensitive,treatment,True,False
56,2024-02-20,organic,India,mobile,power,treatment,True,True
57,2024-05-14,paid,India,mobile,price_sensitive,treatment,False,False
58,2024-01-21,paid,US,mobile,price_sensitive,treatment,True,False
59,2024-03-13,paid,India,mobile,price_sensitive,control,False,False
60,2024-06-15,referral,India,desktop,price_sensitive,treatment,True,False
61,2024-01-18,paid,US,mobile,casual,treatment,True,False
62,2024-05-11,paid,UK,mobile,price_sensitive,treatment,False,False
63,2024-03-29,organic,India,mobile,casual,control,False,False
64,2024-02-29,paid,US,mobile,casual,control,False,False
65,2024-01-14,organic,US,mobile,power,treatment,False,False
66,2024-01-09,paid,US,desktop,power,control,False,False
67,2024-03-30,paid,US,mobile,casual,control,False,False
